Staedte
Sangerhausen, Stadt
Mechernich, Stadt
Rheinbach, Stadt
Neukirchen-Vluyn, Stadt
Wangen im Allgäu, Stadt
Overath, Stadt
Griesheim, Stadt
Leimen, Stadt
Baesweiler, Stadt
Geilenkirchen, Stadt
Hamminkeln, Stadt
Schloß Holte-Stukenbrock, Stadt
Weinstadt, Stadt
Wiesloch, Stadt
Lohne (Oldenburg), Stadt
Strausberg, Stadt
Neckarsulm, Stadt
Lauf a.d.Pegnitz, St
Eisenhüttenstadt, Stadt
Nordenham, Stadt
Köthen (Anhalt), Stadt
Staßfurt, Stadt
Hennigsdorf, Stadt
St. Wendel, Kreisstadt
Heiligenhaus, Stadt
Ilmenau, Stadt
Remseck am Neckar, Stadt
Butzbach, Friedrich-Ludwig-Weidig-Stadt
Kulmbach, GKSt
Mühlacker, Stadt
Ehingen (Donau), Stadt
Lennestadt, Stadt
Heppenheim (Bergstraße), Kreisstadt
Zittau, Stadt
Selm, Stadt
Bad Honnef, Stadt
Hohen Neuendorf, Stadt
Teltow, Stadt
Brilon, Stadt
Weiterstadt, Stadt
Lübbecke, Stadt
Plettenberg, Stadt
Rinteln, Stadt
Zirndorf, St
Verl, Stadt
Bingen am Rhein, Stadt
Pfaffenhofen a.d.Ilm, St
Werder (Havel), Stadt
Petershagen, Stadt
Achern, Stadt
Friedrichsdorf, Stadt
Lindau (Bodensee), GKSt
Ludwigsfelde, Stadt
Rottweil, Stadt
Norden, Stadt
Wiehl, Stadt
Salzkotten, Stadt
Roth, St
Warstein, Stadt
Sprockhövel, Stadt
Bad Oldesloe, Stadt
Ingelheim am Rhein, Stadt
Schmallenberg, Stadt
Saalfeld/Saale, Stadt
Harsewinkel, Die Mähdrescherstadt
Delitzsch, Stadt
Weingarten, Stadt
Schleswig, Stadt
Senftenberg, Stadt
Espelkamp, Stadt
Ditzingen, Stadt
Groß-Gerau, Stadt
Horb am Neckar, Stadt
Pfungstadt, Stadt
Ellwangen (Jagst), Stadt
Obertshausen, Stadt
Idstein, Hochschulstadt
Lüdinghausen, Stadt
Meckenheim, Stadt
Olpe, Stadt
Geretsried, St
Markkleeberg, Stadt
Quedlinburg, Welterbestadt
Arnstadt, Stadt
Syke, Stadt
Attendorn, Hansestadt
Rathenow, Stadt
Salzwedel, Hansestadt
Stutensee, Stadt
Übach-Palenberg, Stadt
Limbach-Oberfrohna, Stadt
Ronnenberg, Stadt
Eisleben, Lutherstadt
Varel, Stadt
Waldshut-Tiengen, Stadt
Döbeln, Stadt
Sonneberg, Stadt
Hann. Münden, Stadt
Öhringen, Stadt
Haren (Ems), Stadt
Sehnde, Stadt
Korbach, Kreisstadt
Bedburg, Stadt
Dillenburg, Stadt
Warburg, Hansestadt
Netphen, Stadt
Riedstadt, Stadt
Helmstedt, Stadt
Bad Mergentheim, Stadt
Starnberg, St
Calw, Stadt
Walsrode, Stadt
Mosbach, Stadt
Husum, Stadt
Herzogenaurach, St
Wertheim, Stadt
Waldkraiburg, St
Glauchau, Stadt
Burg, Stadt
Gardelegen, Hansestadt
Gelnhausen, Krst.
Freudenstadt, Stadt
Herdecke, Stadt
Spremberg, Stadt
Rudolstadt, Stadt
Vreden, Stadt
Überlingen, Stadt
Lengerich, Stadt
Leutkirch im Allgäu, Stadt
Radevormwald, Stadt auf der Höhe
Westerstede, Stadt
Bad Soden am Taunus, Stadt
Donaueschingen, Stadt
Weilheim i.OB, St
Apolda, Stadt
Karben, Stadt
Stadthagen, Stadt
Senden, St
Gersthofen, St
Friesoythe, Stadt
Osterode am Harz, Stadt
Sondershausen, Stadt
Bad Harzburg, Stadt
Nagold, Stadt
Eckernförde, Stadt
Büdingen, Stadt
Bad Kissingen, GKSt
Zerbst/Anhalt, Stadt
Neusäß, St
Waldkirch, Stadt
Laupheim, Stadt
Metzingen, Stadt
Halle (Westf.), Stadt
Büren, Stadt
Hockenheim, Stadt
Schwetzingen, Stadt
Xanten, Stadt
Rotenburg (Wümme), Stadt
Versmold, Stadt
Heide, Stadt
Sonthofen, St
Eppingen, Stadt
Stadtallendorf, Stadt
Wipperfürth, Hansestadt
Waren (Müritz), Stadt
Soltau, Stadt
Puchheim, St
Wülfrath, Stadt
Elsdorf, Stadt
Eschborn, Stadt
Meiningen, Stadt
Seligenstadt, Stadt
Rees, Stadt
Aichach, St
Geseke, Stadt
Flörsheim am Main, Stadt
Reichenbach im Vogtland, Stadt
Groß-Umstadt, Stadt
Schramberg, Stadt
Bad Rappenau, Stadt
Greiz, Stadt
Fröndenberg/Ruhr, Stadt
Werdau, Stadt
Traunreut, St
Kitzingen, GKSt
Blieskastel, Stadt
Kaltenkirchen, Stadt
Coswig, Stadt
Waghäusel, Stadt
Quickborn, Stadt
Germersheim, Stadt
Duderstadt, Stadt
Meinerzhagen, Stadt
Herborn, Stadt
Burgwedel, Stadt
Luckenwalde, Stadt
Enger, Widukindstadt
Bruchköbel, Stadt
Wittmund, Stadt
Neustrelitz, Stadt
Schortens, Stadt
Eislingen/Fils, Stadt
Stadtlohn, Stadt
Dillingen/ Saar, Stadt
Rheinstetten, Stadt
Annaberg-Buchholz, Stadt
Günzburg, GKSt
Mössingen, Stadt
Blankenburg (Harz), Stadt
Holzminden, Stadt
Bad Schwartau, Stadt
Bad Waldsee, Stadt
Lichtenfels, St
Torgau, Stadt
Nidderau, Stadt
Hörstel, Stadt
Nördlingen, GKSt
Zülpich, Stadt
Schifferstadt, Stadt
Traunstein, GKSt
Ennigerloh, Stadt
Oberkirch, Stadt
Oschersleben (Bode), Stadt
Marsberg, Stadt
Donauwörth, GKSt
Eschwege, Kreisstadt
Telgte, Stadt
Gerlingen, Stadt
Mühldorf a.Inn, St
Schopfheim, Stadt
Ochtrup, Stadt
Giengen an der Brenz, Stadt
Wildeshausen, Stadt
Sulzbach-Rosenberg, St
Bückeburg, Stadt
Borna, Stadt
Haiger, Stadt
Seesen, Stadt
Dingolfing, St
Waldbröl, Stadt
Prenzlau, Stadt
Bad Berleburg, Stadt
Sarstedt, Stadt
Haldensleben, Stadt
Rhede, Stadt
Korntal-Münchingen, Stadt
Schenefeld, Stadt
Bad Pyrmont, Stadt
Schmalkalden, Stadt
Bad Krozingen, Stadt
Bad Friedrichshall, Stadt
Alfeld (Leine), Stadt
Hechingen, Stadt
Mayen, Stadt
Weil der Stadt, Stadt
Crimmitschau, Stadt
Mölln, Stadt
Bergneustadt, Stadt
Heusenstamm, Stadt
Tettnang, Stadt
Müllheim, Stadt
Sömmerda, Stadt
Hemmingen, Stadt
Lebach, Stadt
Auerbach/Vogtl., Stadt
Wittlich, Stadt
Püttlingen, Stadt
Vlotho, Stadt
Forst (Lausitz), Stadt
Schneverdingen, Stadt
Leinefelde-Worbis, Stadt
Bremervörde, Stadt
Bad Dürkheim, Stadt
Bad Aibling, St
Dillingen a.d.Donau, GKSt
Bad Tölz, St
Wolfratshausen, St
Radeberg, Stadt
Alzenau, St
Burghausen, St
Marktoberdorf, St
Sachsenheim, Stadt
Kolbermoor, St
Bad Driburg, Stadt4)
Glinde, Stadt
Burscheid, Stadt
Kronberg im Taunus, Stadt
Uetersen, Stadt
Großenhain, Stadt
Weißenburg i.Bay., GKSt
Pfullingen, Stadt
Konz, Stadt
Moosburg a.d.Isar, St
Hessisch Oldendorf, Stadt
Zossen, Stadt
Alzey, Stadt
Pohlheim, Stadt
Schwalmstadt, Stadt
Lahnstein, Stadt
Vellmar, Stadt
Wassenberg, Stadt
Parchim, Stadt
Buchen (Odenwald), Stadt
Schkeuditz, Stadt
Werdohl, Stadt
Bexbach, Stadt
Frankenberg (Eder), Stadt
Wörth am Rhein, Stadt
Bad Reichenhall, GKSt
Freudenberg, Stadt
Thale, Stadt
Oberasbach, St
Renningen, Stadt
Sinzig, Stadt
Sigmaringen, Stadt
Guben, Stadt
Nauen, Stadt
Bad Segeberg, Stadt
Bad Saulgau, Stadt
Bad Langensalza, Stadt
Bad Münder am Deister, Stadt
Hochheim am Main, Stadt
Wittenberge, Stadt
Nidda, Stadt
Bad Münstereifel, Stadt
Marktredwitz, GKSt
Oerlinghausen, Stadt
Marienberg, Stadt
Horn-Bad Meinberg, Stadt
Altena, Stadt
Schwarzenberg/Erzgeb., Stadt
Gescher, Glockenstadt
Bobingen, St
Illertissen, St
Garching b.München, St
Bad Säckingen, Stadt
Eutin, Stadt
Eltville am Rhein, Stadt
Bad Wildungen, Stadt
Heilbad Heiligenstadt, Stadt
Damme, Stadt
Schrobenhausen, St
Kronach, St
Stockach, Stadt
Bendorf, Stadt
Babenhausen, Stadt
Cham, St
Weißwasser/O.L., Stadt
Freilassing, St
Diepholz, Stadt
Gunzenhausen, St
Finsterwalde, Stadt
Penzberg, St
Königstein im Taunus, Stadt
Kelheim, St
Remagen, Stadt
Brakel, Stadt
Sulzbach/ Saar, Stadt
Kirchhain, Stadt
Heidenau, Stadt
Trossingen, Stadt
Ginsheim-Gustavsburg, Stadt
Hünfeld, Konrad-Zuse-Stadt
Wurzen, Stadt
Wendlingen am Neckar, Stadt
Kierspe, Stadt
Schwarzenbek, Stadt
Halver, Stadt
Reinheim, Stadt
Vilshofen an der Donau, St
Aue, Stadt
Bürstadt, Stadt
Bargteheide, Stadt
Templin, Stadt
Zeulenroda-Triebes, Stadt
Lübbenau/Spreewald, Stadt
Michelstadt, Stadt
Preetz, Stadt
Erwitte, Stadt
Kelsterbach, Stadt
Raunheim, Stadt
Alsfeld, Stadt
Freiberg am Neckar, Stadt
Brackenheim, Stadt
Schlüchtern, Stadt
Straelen, Stadt
Königslutter am Elm, Stadt
Blaustein, Stadt
Wadern, Stadt
Bassum, Stadt
Bad Wörishofen, St
Bad Salzungen, Stadt
Bad Lippspringe, Stadt
Marbach am Neckar, Stadt
Dieburg, Stadt
Eilenburg, Stadt
Weener, Stadt
Clausthal-Zellerfeld, Berg- und Universitätsstadt
Bad Arolsen, Stadt
Markranstädt, Stadt
Pocking, St
Drensteinfurt, Stadt
Walldorf, Stadt
Schwalbach am Taunus, Stadt
Rahden, Stadt
Füssen, St
Boppard, Stadt
Breisach am Rhein, Stadt
Ebersbach an der Fils, Stadt
Taucha, Stadt
Bad Bentheim, Stadt
Bad Neustadt a.d.Saale, St
Blomberg, Stadt
Altdorf b.Nürnberg, St
Hofgeismar, Stadt
Künzelsau, Stadt
Eppelheim, Stadt
Hückeswagen, Schloss-Stadt
Neustadt in Holstein, Stadt
Ribnitz-Damgarten, Stadt
Neustadt b.Coburg, GKSt
Ober-Ramstadt, Stadt
Kamenz, Stadt
Brake (Unterweser), Stadt
Lohr a.Main, St
Witzenhausen, Stadt
Hilchenbach, Stadt
Landsberg, Stadt
Löbau, Stadt
Selb, GKSt
Schriesheim, Stadt
Munster, Stadt
Mainburg, St
Mittweida, Hochschulstadt
Langenau, Stadt
Karlstadt, St
Stadtbergen, St
Gehrden, Stadt
Hohenstein-Ernstthal, Stadt
Lauchhammer, Stadt
Markgröningen, Stadt
Mindelheim, St
Olsberg, Stadt
Fritzlar, Dom- und Kaiserstadt
Kraichtal, Stadt
Neu-Anspach, Stadt
Spenge, Stadt
Eberbach, Stadt
Meerane, Stadt
Oschatz, Stadt
Lauda-Königshofen, Stadt
Ottweiler, Stadt
Bad Wurzach, Stadt
Bitburg, Stadt
Sandersdorf-Brehna, Stadt
Ratzeburg, Stadt
Dorfen, St
Dippoldiswalde, Stadt
Pattensen, Stadt
Hettstedt, Stadt
Genthin, Stadt
Sassenberg, Stadt
Rotenburg a. d. Fulda, Stadt
Uslar, Stadt
Uhingen, Stadt
Münsingen, Stadt
Wittstock/Dosse, Stadt
Frankenberg/Sa., Stadt
Jessen (Elster), Stadt
Usingen, Stadt
Immenstadt i.Allgäu, St
Gernsbach, Stadt
Jever, Stadt
Erlensee, Stadt
Schneeberg, Stadt
Wanzleben-Börde, Stadt
Bad Camberg, Stadt
Bad Bramstedt, Stadt
Lauterbach (Hessen), Kreisstadt
Plochingen, Stadt
Wilsdruff, Stadt
Bebra, Stadt
Murrhardt, Stadt
Homberg (Efze), Kreisstadt
Leuna, Stadt
Oberndorf am Neckar, Stadt
Langenselbold, Stadt
Oebisfelde-Weferlingen, Stadt
Kalkar, Stadt
Lübben (Spreewald), Stadt
Isny im Allgäu, Stadt
Schwabmünchen, St
Stein, St
Markdorf, Stadt
Bad Laasphe, Stadt
Angermünde, Stadt
Neustadt a.d.Donau, St
Zeven, Stadt
Grünberg, Stadt
Biedenkopf, Stadt
Eppstein, Stadt
Aßlar, Stadt
Melsungen, Stadt
Abensberg, St
Bergen auf Rügen, Stadt
Schwentinental, Stadt
Neutraubling, St
Südliches Anhalt, Stadt
Eggenfelden, St
Erbach, Kreisstadt
Grafing b.München, St
Solms, Stadt
Lorsch, Karolingerstadt
Grünstadt, Stadt
Zehdenick, Stadt
Bad Soden-Salmünster, Stadt
Eichstätt, GKSt
Asperg, Stadt
Weißenhorn, St
Haßfurt, St
Erbach, Stadt
Hilpoltstein, St
Philippsburg, Stadt
Tornesch, Stadt
Höchstadt a.d.Aisch, St
Beverungen, Stadt
Bergen, Stadt
Lich, Stadt
Vöhringen, St
Pegnitz, St
Bad Salzdetfurth, Stadt
Neckargemünd, Stadt
Tauberbischofsheim, Stadt
Löningen, Stadt
Wolfhagen, Stadt
Landau a.d.Isar, St
Sendenhorst, Stadt
Pfullendorf, Stadt
Herbrechtingen, Stadt
Burglengenfeld, St
Bad Dürrheim, Stadt
Wiesmoor, Stadt
Rödental, St
Waltershausen, Stadt
Östringen, Stadt
Quakenbrück, Stadt
Weilburg, Stadt
Herzberg am Harz, Stadt
Velen, Stadt
Montabaur, Stadt
Möckern, Stadt
Holzgerlingen, Stadt
Dinklage, Stadt
Plattling, St
Krumbach (Schwaben), St
Schleiden, Stadt
Ettenheim, Stadt
Wehr, Stadt
St. Georgen im Schwarzwald, Stadt
Steinheim, Stadt
Neustadt a.d.Aisch, St
Winterberg, Stadt
Treuchtlingen, St
Altötting, St
Brunsbüttel, Stadt
Linden, Stadt
Spaichingen, Stadt
Wasserburg a.Inn, St
Sulingen, Stadt
Borken (Hessen), Stadt
Haselünne, Stadt
Schüttorf, Stadt
Buchloe, St
Anklam, Stadt
Fehmarn, Stadt
Wernau (Neckar), Stadt
Olfen, Stadt
Wächtersbach, Stadt
Hadamar, Stadt
Preußisch Oldendorf, Stadt
Linnich, Stadt
Pfarrkirchen, St
Hungen, Stadt
Hersbruck, St
Bad Windsheim, St
Bad Urach, Stadt
Perleberg, Stadt
Neustadt i. Sa., Stadt
Bad Freienwalde (Oder), Stadt
Jüterbog, Stadt
Ludwigslust, Stadt
Feuchtwangen, St
Ebersbach-Neugersdorf, Stadt
Rosbach v. d. Höhe, Stadt
Twistringen, Stadt
Schongau, St
Neuenburg am Rhein, Stadt
Gladenbach, Stadt
Besigheim, Stadt
Bad Wünnenberg, Stadt
Eisenberg, Stadt
Gaildorf, Stadt
Sulz am Neckar, Stadt
Wolgast, Stadt
Weinsberg, Stadt
Beelitz, Stadt
Burladingen, Stadt
Steinheim an der Murr, Stadt
Titisee-Neustadt, Stadt
Zwönitz, Stadt
Bad Doberan, Stadt
Hessisch Lichtenau, Stadt
Pößneck, Stadt
Ebersberg, St
Blaubeuren, Stadt
Coswig (Anhalt), Stadt
Hemsbach, Stadt
Monschau, Stadt
Pritzwalk, Stadt
Neuenrade, Stadt
Röthenbach a.d.Pegnitz, St
Gräfenhainichen, Stadt
Bad Dürrenberg, Stadt
Drolshagen, Stadt
Velten, Stadt
Bopfingen, Stadt
Oestrich-Winkel, Stadt
Geisenheim, Hochschulstadt
Hagenow, Stadt
Vilsbiburg, St
Roding, St
Erkner, Stadt
Langelsheim, Stadt
Osterhofen, St
Hildburghausen, Stadt
Hauzenberg, St
Dinkelsbühl, GKSt
Billerbeck, Stadt
Wittingen, Stadt
Lichtenstein/Sa., Stadt
Walldürn, Stadt
Ladenburg, Stadt
Balve, Stadt
Lindenberg i.Allgäu, St
Lauenburg/ Elbe, Stadt
Wolmirstedt, Stadt
Miesbach, St
Bad Fallingbostel, Stadt
Schöningen, Stadt
Ochsenfurt, St
Werther (Westf.), Stadt
Laichingen, Stadt
Stollberg/Erzgeb., Stadt
Rheinau, Stadt
Trostberg, St
Schwaigern, Stadt
Osterwieck, Stadt
Lauffen am Neckar, Stadt
Glückstadt, Stadt
Schmölln, Stadt
Bischofswerda, Stadt
Mülheim-Kärlich, Stadt
Oelsnitz/Erzgeb., Stadt
Geisenfeld, St
Marktheidenfeld, St
Maxhütte-Haidhof, St
Bad Belzig, Stadt
Hammelburg, St
Rothenburg ob der Tauber, GKSt
Braunsbedra, Stadt
Demmin, Hansestadt
Welzheim, Stadt
Diez, Stadt
Rüthen, Stadt
Braunfels, Stadt
Gengenbach, Stadt
Querfurt, Stadt
Flöha, Stadt
Donzdorf, Stadt
Tangerhütte, Stadt
Regen, St
Lauingen (Donau), St
